	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	Non-User	User	User	Non-User	User	Non-User	User	Non-User	Non-User	User	Non-User	User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	Non-User
Sample_ID	S100/8123	S101/8118	S102/8145	S103/8150	S104/8162	S105/8151	S106/8079	S107/8192	S108/8103	S109/8446	S110/8096	S111/8449	S112/8459	S113/8451	S114/8452	S115/8234	S116/8209	S117/8026	S118/8490	S119/8130	S120/8477	S121/8264	S122/8134	S123/8176	S124/8224	S125/8210	S126/8135	S127/8112	S128/8202	S129/8204	S130/8507	S131/8274	S132/8297	S133/8222	S134/8546	S135/8381	S136/8391	S137/8574	S138/8047	S139/8583	S140/8013	S141/8080	S142/8621	S143/8071	S144/8417	S145/8371	S146/8430	S147/8369	S148/8242	S149/8312
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.053463993	0.017774294	0.000178942	0	0.02284264	0	0.0101675	0	0.000146353	0	0.00093127	0.00018795	0.00019292	0	5.65E-05	0.012122769	0.00013177	0.001867311	0	0	0	0.000600224	0.00617801	9.98E-05	0.021703757	0.001072639	0.014416261	0	0.000159271	0	0.000273748	0.00020917	0.000228475	0.002779123	0.011915821	0	0.01174773	0.001553967	0	0.001876377	0.003114055	0.008558769	0.040714937	0.000669792	0.000674612	8.68E-05	0.000432006	0.001218725	0.000636061	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251809	0	0	0.000124721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384154	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0	0	9.04E-05	0	0	0	0	0	0	0	0	0	0	0	2.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|__	0.000405331	0.000360147	0.001216806	0.000615739	0	0	0	0	0	0.000424684	0	0.001888902	0	0	0	0.000109004	0	0	0	0	0.001948207	0	0.000628272	0	0	0	0	0	0	0	0	0.000235317	0.000237614	0	0	0	0	0	0	0.000426901	0.000629508	0.000106473	0.000742276	0	0	0.003598823	0	0.005028249	0	0.000970494
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__	0.00102525	0.000550812	0.001843104	0.002140428	0.002405124	0.000944636	0	0	0	0.00098849	0.000367261	0.002302394	0.000182202	0.000828147	0.000719866	0.000763026	0.000101361	0.000192223	0	0	0.00213375	0.000163697	0.001361257	0.001060128	0.000463114	0	0.000190628	0.040063067	0.000140534	0.000282521	0.000102655	0.001403185	0.000868206	0	0.015346884	0.000242936	0	0	0.000833836	0.002769891	0.001754586	0.000458652	0.000176382	0.00050942	0	0.000955184	0.000904513	0.014656981	5.24E-05	0.003962852
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0	0	0	0	7.25E-05	0	0	0	0.000125445	0	0.000432844	0	0	0	0.001566768	0.001860849	0.000364901	0	0.000103441	0	0	0.000463809	0	0.002432058	0.000162716	0	0.000416999	0.017374852	0.000393494	0.000749294	0	0	0	0	0.031771395	0	0.000179355	0	0	0.000158847	0.000589326	0.000622456	0	0.001509391	0	0	0.001809026	0.00220339	0	0.000909838
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0	0	4.47E-05	0	0	0	0	3.41E-05	0	0	0	0	3.22E-05	0	0.000105863	0	0	1.83E-05	0	0	0	0	0	0.000124721	0	0	0	4.73E-05	0	7.37E-05	0	2.61E-05	3.66E-05	0	0.000111479	0	0	0.001331972	0	0	0	0	6.61E-05	0	0	0	0	1.61E-05	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.010912154	0.011800097	0.006826641	0.001417178	0.004520184	0	0.00716997	0	0.000996592	0.008310635	0.020901102	0	0.002164989	0.000409805	0.004185104	0.001479336	0.043230587	0.002553822	0.00931761	0.000888868	0.01390251	0.011445175	0.001780105	0.017174073	0	0	0.025460784	0.018210485	0	0.009138926	0.001574049	0.004715049	0.002988457	0.002314322	0	0.00341214	0.002184866	0.001524368	0.004719157	0.00181681	0.042384629	0.035422656	0.009024899	0.005726253	0.001986358	0.007380964	0.001296019	0.016658596	0.000725858	0.00310693
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	9.84E-05	0	0.000296108	0.002718909	0	0	0.000111507	0	9.84E-05	0	0	0	0	0	0.000932524	0	0.00044559	0	0	0.000109132	0	0.001683733	0.000826095	0.000235457	0	0	0.000712037	0.00045449	0	0	0	7.75E-05	0	0	0.000187507	0	0	0	0	0.000876352	0	0.000141505	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0	0.000109832	0	0.000253733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000583366	0	0	0	0	0	0	0	0	0	0	0	0	6.70E-05	5.73E-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0.000169481	0	0.000283436	0	0	0.000346448	0	0	0.000915268	0	0.00091156	0	0.000128064	9.88E-05	0	0	0.000585823	0.001655049	0.000144141	0.002875924	0	0	0.000935407	0	0.000706372	0.001143769	0	0	0	0	0	0.000109668	0	0	0	0	0.000192396	0.000975766	0.000258126	0.001714404	0	0.000448305	0	0	0.002971682	0.000162002	0.000411622	0	0.000539163
k__Bacteria|p__Bacteroidetes|__|__|__|__	0	0	0.000196836	0	0.001528886	0	0	0	0	0	0	0	0.000203638	0	0	2.34E-05	7.10E-05	0	0	0	0	0	0	0	0	0	0.001215255	0	0	0	0	0	0	0	0	0.000298148	0	5.92E-05	0	0	0	0	6.61E-05	0	0	0	0	0.001146086	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|__|__	1.59E-05	0	0	0.023847688	1.81E-05	0	0	0	0	0	4.59E-05	1.88E-05	0	0.008170479	0	0	0	0	3.98E-05	0	0	0	0.006701571	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	4.42E-05	0	0	3.55E-05	0.000546036	0.000187513	2.46E-05	0	0	0	0	2.70E-05	0.003091203	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009527956	0	0	0	0	0	0	0.002398813	0	0.006910995	0	0	0	0	0	0	0	0.00044484	0.016437306	0	0	0	0	0	0.002782341	0	0.026646546	0	0	0	0.027650161	0.000515329	0	0	0.063034705	0	0.029188963
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|__	0	0	0	0	0.00111796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.288365402	0.109940046	0.043411352	0.072129481	0.245818226	0.588565796	0.334186901	0.594972162	0.464035571	0.200216735	0.260689927	0.185619908	0.212083213	0.003193061	0.149492212	0.268063471	0.152092604	0.29989565	0.105175212	0.025897276	0.078100565	0.222723924	0.039267016	0.269871163	0.246639297	0.172158489	0.041449728	0.097705952	0.071456678	0.646407075	0.06073775	0.00604851	0.02603705	0.560123947	0.038683066	0.152828543	0.371419021	0.224807234	0.115140333	0.00387189	0.235301996	0.33240784	0.225262369	0.098582116	0.560059216	0.060234454	0.16205635	0.026392252	0.526695851	0.005856663
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98E-05	0	0	0	0.004831402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188674	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Paludibacter	0	0	0	0	3.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.003202912	0.011376396	0.004285663	0.00222839	0.007046169	0.013241334	0.003012593	0.087727513	0.033953822	0.038009255	0.045409234	0.042627172	0.005594675	0.00205756	0.008652509	0.048623439	0.006030996	0.059937024	0.002307521	0.002738673	0.070413762	0.030856956	0.003769634	0.039000237	0.030402784	0.016861355	0.008947613	0.002822231	0.00223917	0.06360398	0.005406515	0.000923836	0.01500626	0	0.000421141	0.034066189	0.027400499	0.018218414	0.02277969	0.001787026	0.036685574	0.069739633	0.07354411	0.011037423	0.002051945	0.011385016	0.01101616	0.004769976	0.023923373	0.002237528
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0	2.42E-05	0	0	3.41E-05	0	0.001508362	0	0	0	0	0	0	0	0	0	0	3.98E-05	0	0	0	0	0	0	3.15E-05	0	0	0	0	1.83E-05	0	2.48E-05	0	6.52E-05	0.000369992	0	0	0	0	0.00019843	1.89E-05	0.000281088	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella	0	0	0	0	1.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__	0	0	0	0.005287541	0	0	0	0	0	0	0	0	0	0	0	1.56E-05	0	0	0	0	0	0	0.001465969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186645	0	0	0	0	0	0	0	0.006577885	0	0.000370675
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.000111267	0.184829354	0.229251664	0.189901873	0.000368625	0.00101035	0.000376574	0.000587404	0	0.139970126	0.004492392	0.021680089	0.152310215	0.419964313	0.453614505	0.202824753	0.000577759	0.1421994	0.460764187	0.525873252	0.070334243	0.111791668	0.141361257	0.003529603	0	0.277093934	0.168372392	0.001734332	0.014793509	0.013278467	0.455344922	0.407385457	0.361575931	0.000435751	0.002576394	0.329277046	0.024881381	0.091536059	0.380637264	0.055040407	0.102984805	0.005495631	0.002094541	0.139430016	0.001433551	0.142158329	0.228072307	0.021436642	8.98E-05	0.306885118
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|__	0	0.004056946	0.000232625	0	0.001021271	0	0	0	0	0.010939285	0	9.40E-05	0.010557002	0	0.003429951	0.010184061	0	0.003423404	0	0.001249219	0.007898852	0.000559299	0.001884817	0.008568328	0	0	0.003395566	0	0.006483286	0	0	0.000575219	0.010500727	0.008240535	0	0.001722634	0	0.001642765	0.002909555	0	0.000220997	0.018280547	0	0.001933908	0.001480399	0.004698731	0.010543653	0.011331719	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__	0.001986918	0.001398216	0.000250519	0.000664608	0.032535654	0	0	0	0	0.005037636	0	0	0.000235791	0.000204902	0.024673061	0	0.29441398	0.003817004	4.77E-05	0.00216211	0.010894055	0	0.003246073	0	0.044859439	0	0.006123932	0.0001892	0.002351596	0	0.001026554	9.59E-05	0.003299184	0	7.43E-05	0.000209808	0	0.003196732	0.006865841	0.00052618	0.001727798	0.008673432	0.124298145	0.002245219	0.000637134	0.005846881	0.002673039	5.65E-05	0.000157144	0.000175228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000355125	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.10769891	0.006588564	0.006898218	0.002814809	0.025211506	0.000287498	0.003087907	0.005797422	0.006906453	0.011466479	0.04613064	0.00197348	0.035958115	0	0.007092799	0.04012115	0.037027276	0.003258641	0.002395048	0.000336328	0.059970313	0.004569885	0.012041885	0.147632173	0.076614014	0.026096511	0.005385248	0.001876232	0.03645443	0.001240634	0.016048453	0.001211445	0.0024127	0.011203641	0.001585473	0.008679424	0.02815868	0.059627936	0.015275166	0.000138991	0.02764477	0.074162346	0.052613399	0.017744781	0.062101791	0.025973274	0.011866672	0.004697337	0	7.41E-05
