	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	Non-User	User	User	Non-User	User	Non-User	User	Non-User	Non-User	User	Non-User	User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	Non-User
Sample_ID	S100/8123	S101/8118	S102/8145	S103/8150	S104/8162	S105/8151	S106/8079	S107/8192	S108/8103	S109/8446	S110/8096	S111/8449	S112/8459	S113/8451	S114/8452	S115/8234	S116/8209	S117/8026	S118/8490	S119/8130	S120/8477	S121/8264	S122/8134	S123/8176	S124/8224	S125/8210	S126/8135	S127/8112	S128/8202	S129/8204	S130/8507	S131/8274	S132/8297	S133/8222	S134/8546	S135/8381	S136/8391	S137/8574	S138/8047	S139/8583	S140/8013	S141/8080	S142/8621	S143/8071	S144/8417	S145/8371	S146/8430	S147/8369	S148/8242	S149/8312
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__|g__	0	0	0	0	0	0	0	0	0	0.000241631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118397	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005131095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004934178	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|__|__|__|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61E-05	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|__|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000885519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002369698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139636	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|__	0	0.000434294	0.000152101	2.93E-05	4.83E-05	0	0	0.000127697	4.88E-05	9.52E-05	0	7.52E-05	6.43E-05	7.68E-05	0.000232898	0	0.000172314	6.41E-05	6.37E-05	0	0.000159037	0	0.001361257	0.000112249	0	0	5.96E-05	9.46E-05	0	0.000196536	0.002189981	0	0	0	0.000346822	0	0	0.006556261	7.10E-05	0	0	2.46E-05	7.35E-05	0	0.000149914	0.000106132	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49E-05	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	0	0	0	0	0	0	0	5.96E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|__	0	0.000222443	0.000241572	0	0	0	0	0	0	0	0	0	8.57E-05	0	0.000127035	0	0	0	0	0	0	8.18E-05	0	0.000112249	0	0	0	0.000362633	0	0	0.000923898	0.000104585	0	0	0.00081751	0	0	0.002619544	0	0	3.35E-05	0	0.000169033	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0.000933904	0.000119183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001935982	0	0	0	0	0	0	0.000639731	0	0.018914199	0	0	0	0	0.000148919	0	0	0	0	0	0.000733272	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.00321086	0	0.000429461	0	0	0	0.003283726	0.000212828	0	3.66E-05	0.009266789	0.000535659	0	0	0	0	0	0.000448521	0.000238709	0	0	8.18E-05	0	3.74E-05	0	0.000497076	0.001036541	0	0	0	0	0.00019174	0.001160655	0.000329234	0.000421141	0	0	0	0	0	0.000395117	0.000204755	0.004975453	0	0	0.001061315	0.003969058	0	0	0.00058634
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023908534	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|__	0	0	0	0	0	0	0.00066277	0	0	0	0	0	0	0	0	0.000280295	0	0	0	0	0	0	0	0	0	0	0.006374132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	1.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24E-05	0	0	0.000333599	3.15E-05	0	0	0	0	0	0	0.001040467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39E-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103598	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0	0	9.77E-05	0	0	0	0	0	0	0	0	0	3.42E-05	0	0	4.05E-05	0	0	0	0	0	0	0.000137193	0	0	0.003645765	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167422	0	8.08E-05	5.66E-05	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.001287523	0.001896066	0.001449431	0.000156378	0.000296108	0.000312141	0.007245285	0.001464253	0.000383305	0.00133263	0.00587618	0	0.000300098	0.00017929	0.004149817	0.000280295	0.000516943	0.005244947	0.003548808	0.000264258	0	0.001541484	0.007958115	0.003005775	0.000725962	0.006134969	0.023292388	0.002696098	0.000374756	0.001093232	0.008109773	0.001446762	0.023432431	0.000900552	0.009636704	0.000187723	0.000244575	0.038449585	0.003246638	0	0.003649806	0	0.006195432	0.000122638	0.001236789	0.00091659	0.004212061	0	0.002312268	0.000107833
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter	0	0.000201258	0	0	8.46E-05	0	0	0	0.000195137	0.000117154	0.000203305	0	8.57E-05	0	0.002512474	7.79E-05	0	0.000219684	0.001010535	0	0	0	0	0	8.76E-05	0.000117729	0	0.000473	0	0	0	0.000217886	3.66E-05	0	0	0	6.52E-05	0	0.00044353	0	0.00713219	0	0.000492401	0	0.000374784	0.002045444	0.000162002	7.26E-05	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|__|__|__	6.36E-05	6.36E-05	3.58E-05	8.80E-05	0.001045444	0	0	0	0	8.05E-05	0.000229538	3.76E-05	0.000364404	0	0.000119978	2.34E-05	0.004186221	4.58E-05	0	0	0.001391576	0	0	0.00101024	0.000312915	0	0.000321685	0.000930233	0.000740144	0	0	7.84E-05	0	0	0	3.31E-05	0	0.000503189	0	0.000218414	0.000308057	0.00115482	4.41E-05	0	6.56E-05	0.000279801	0.000175503	0.000258273	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|__|__	0.009894852	0.016100672	0.001252595	0.008092576	0.005142615	0.006965665	0	1.70E-05	0.013575954	0.010778198	0.008958552	0.019048783	0.011564473	0.010142663	0.005949482	0.008852658	0.021265597	0.002572129	0.001734619	0.005837698	0.034246031	0.017324639	0.051204188	0.008880131	0.024257141	0.007469227	0.014857088	0.214741821	0.016020836	0.00213733	0.00485902	0.024873844	0.019329014	0.003185824	0.002155252	0.013648561	0.008755768	0.010759372	0.013767165	0.061543196	0.009851128	0.029886074	0.007959256	0.015622199	0.002323664	0.011220995	0.024786359	0.112792575	0.009735473	0.025488954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__	0	0.029373133	0.000420514	0	0.001099831	4.93E-05	0	6.81E-05	6.27E-05	0.0032071	0	0.000253733	0.039173446	0.006095843	0.000218783	0.000147934	0.000476398	8.24E-05	8.75E-05	0.0050209	0.000954224	0	0.040732984	7.48E-05	0.000638346	0	0.094956692	0.010059125	0.016779718	0.000221103	0.003456064	0.008915887	0.012822036	3.87E-05	0.000681258	0	0	0.010966568	0.004151439	0.081538034	0.004292708	0.000131043	0	0.014414686	0.000412263	0.000762217	0.001093516	0.004309927	3.74E-05	0.002318403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.65E-05	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__	9.54E-05	0.002521026	0.000134207	0.001534462	0.004502055	0.000271069	0	2.55E-05	0	0.00071757	0.00100341	0.000122168	0.052474197	0.002364914	0.000261128	0.000459373	0.028624426	0.000439367	1.59E-05	0.000120117	0.048082275	0.000163697	0.006387435	0.000311802	0.000876161	0	0.010079468	0.020953883	0.00129291	9.83E-05	0.000752806	0.000566503	0.016276583	6.78E-05	0.000136252	0.000364403	0.000913078	0.001539167	0.000674165	0.042422016	0.029700716	0.026298762	0.001146486	0.000584889	0.000384154	0.001495489	0.001053015	0.021468927	0	0.001226597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella	6.36E-05	5.30E-05	9.84E-05	5.86E-05	2.42E-05	0.000229998	0	0	0	4.39E-05	0	0	0	0	0.000105863	8.56E-05	0.001216335	0	0	0	0.00021205	0	0	0.000586188	0	0	5.96E-05	0.001103666	0.000149903	0	0	0	0	3.87E-05	0	0.000143553	5.71E-05	0	0	2.98E-05	0.000127241	0.000139234	0.000338066	0.000122638	2.81E-05	0.000656086	9.45E-05	0.000185634	0	2.02E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__	4.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000218007	0	3.66E-05	0	0	0	0	0.000209424	0	0	0.000170052	0	0	0	0	0	9.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0	0.000243629	0	0	0.000163162	0	0	5.96E-05	3.48E-05	8.79E-05	0	0	0.000396557	0.002689343	0.000105863	0	0.000192586	0	5.57E-05	0	0.002080738	0	0	0	0	0.000117729	0	0.007457627	0	0	0.000273748	0	0.000402117	8.72E-05	0	0	0	0.003847918	0	0.000248198	0.00040851	0.000614266	0.001124438	0.000132072	0.000524698	0.000877997	0.00071551	0	0	0.000101093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__SMB53	0	4.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000515198	0.000124576	0	0	0	0	0	0	0	0	0	0.000143891	0.000488485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000727577	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium	0	0	0	0	4.23E-05	0	0	0	0	0.000153765	7.87E-05	0	0	8.54E-05	0	0	0.000516943	0	0	0	0.000410846	0.000436526	0.000209424	0	0.000312915	0	0.000536142	0	0.000524659	0	0	3.49E-05	4.57E-05	0	0	0	0	0	7.10E-05	0.000129063	0.000254482	0.000139234	0.000191081	0.000207541	0	0	0.000351005	0.000371267	0	0.00015501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__EtOH8|g__	0	6.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00051318	0	0	0	0	0	6.84E-05	0	0	0	0	0	0	0	0	0	0.00010715	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	6.36E-05	0	0	0	0	0	0	0	0	0	4.59E-05	0	0	0	2.82E-05	0	0.000101361	0	0	0	0	0	0	0.000162137	0	0	0	0.000252266	0	0	0	0	0	0	0.000619325	0	0	0	0	0	2.01E-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter_Eubacterium	0	0	1.79E-05	0	0.00013899	0.002776409	6.03E-05	0	0	0	0	0	0	0	2.12E-05	0	0.006882431	0	0	0	0	0	0	0	0	0	0	0.004919196	4.68E-05	7.37E-05	0	0	0	0	0	0	0	0	0	0	0	7.37E-05	5.88E-05	0	0	0	0	4.04E-05	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|__	0.034469056	0.066605936	0.00865185	0.024199539	0.004568528	0.038738295	0.108423209	0.000366063	0.037361749	0.056292651	0.005436779	0.043313191	0.090479406	0.019755996	0.01993747	0.039856427	0.020434434	0.01924978	0.016455011	0.087012925	0.015506136	0.065233405	0.063350785	0.019443994	0.044421358	0.04943294	0.028927835	0.002207331	0.049317943	0.031679155	0.031960033	0.011469509	0.043346341	0.024276169	0.023199931	0.048277918	0.069361334	0.045479436	0.018752439	0.053322876	0.015771181	0.013931546	0.025641591	0.056158788	0.045264598	0.045028704	0.042998123	0.005948345	0.032132301	0.037613393
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__	0	0.000699108	0	0.000977364	0	0	0.001099596	0	0.000439058	0.001003134	0	0	0	0.000204902	0	0.000350369	0	0	0	0.001249219	2.65E-05	0	0.001570681	0	0	0	0.000738684	0	0	0	0.000205311	0	0.000530063	0.000426068	0	0.000828189	0	0.00047359	0	0.000248198	0	0	0	0.002282954	0	0	0	0	0.001548995	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.000119215	0.000794441	0.000152101	0	0.000513657	0	0	0	0.001637756	0.000212342	0.000957503	0	0.000600195	0	0.000486968	0.000576162	0	0.001528632	8.75E-05	0	0	0.000641148	0	0.000486412	0.002753649	0	0.000178714	9.46E-05	0	0	0	0	0.000822511	0.001578387	0	0	0.001255483	0	0	0	0.000468782	0.000196565	0	0	0.001339855	0.000212263	0.000972014	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.015315165	0.015433341	0.005502469	0.01623402	0.130819434	0.008961722	0.004051937	0.00197504	0.007979706	0.023299066	0.002052728	0.002903835	0.005444627	0.002672267	0.006422336	0.021427014	0.043919843	0.007460091	0.011617174	0.008023831	0.02328571	0.010299293	0.006387435	0.064580501	0.01674719	0.016089578	0.037780134	0.01196689	0.040707915	0.018204152	0.00331919	0.004131115	0.005209238	0.002575772	0.033827555	0.008712552	0.018921916	0.015761666	0.005322357	0.010742013	0.005404392	0.013464704	0.008730929	0.010575172	0.002614122	0.038381012	0.014647712	0.00464891	0.003494593	0.003443907
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002322226	0	0	0	0	0	0	0.030296605	0	0.00513089	0	0	0	0	0	0	0	0	0.000618796	0	0	0	0	0	0	0	0.021881143	0	0	0	0	0	0	0	0	0	0.000417852
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium	0.000611971	0.000942737	0.000304202	0.001397631	8.46E-05	0.066543453	0.001235163	0.014974546	0.000111507	0.001464429	0.000170514	0.005356589	0.004769407	0	0.000430508	0.000576162	0.004642347	0.003222027	0.000198924	0	0.004201235	0.001800671	0	0	0.009850552	0.004983845	0	0	0.000243592	0.009495148	0.002087325	2.61E-05	0.000137085	0.001839837	0.000470687	0.001060082	0.005078998	0.00614187	0.000479012	0	0.000823718	0.027650147	0.000146985	0.000216975	0.001255528	0	0.000513007	0.000451977	0.003621806	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.04975243	0.011418766	0.011398611	0.005404824	0.029628958	0.002702481	0.000948967	0	0.012788437	0.02522479	0.015149528	0.006691038	0.000675219	0.012925919	0.029500399	0.009094023	0.007237196	0.000164763	0.003994398	0.069812137	0.002107244	0.013163997	0.018010471	0.024869355	0.028763111	0.007874737	0.029297178	0.007426094	0.043096987	0.001302051	0.002258418	0.001089429	0.025945659	0.002430522	0.084798038	0.006901578	0.024816161	0.010907369	0.005783628	0.007694141	0.008263965	0.004168817	0.004747626	0.022452195	0.0016959	0.001466544	0.019507783	0.004640839	0.007370824	0.009361226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.008511957	0.005582272	0.003364111	0.001993823	0	0	0.014972585	0	0.000919931	0.00170606	0.003436516	0.028408717	0.00725593	0.001844121	0.006408221	0.008330998	0.000202723	0.001620167	0.001742576	0.003939845	0.003551833	0.015742231	0.003350785	0.010414198	0.000275365	7.85E-05	0.006874531	0.0003784	0.00446897	0.000233387	0.001300301	0.004279277	0.006662341	0.000484168	0.010342735	0.000971742	0.005380639	0.005490684	0.000816095	0.000665171	0.006770558	0.003317035	0.007055296	0.006396045	0.000880744	0.007062569	0.001471521	0.001896691	0.001810903	0.0020623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000310793	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium	0.002861162	0.009046035	0.000134207	0.001974276	0	0	0	0	0.013276279	0.000270919	0	0.000272528	0.016880486	0.003193061	0.000261128	0	0.002392126	0	0.000143225	0.004996877	0.000556631	0.00122773	0	0.003292633	0	0.021688228	0.045881834	0	0	0	0.001197646	0.001098144	0.000612314	0.000251767	0.000198184	0.00551022	0	0.001687164	0.001028989	0.002184143	0	8.19E-05	0	0.000235842	0	0	0.011475166	0.000104923	0	0.004562671
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	0.005626952	0.00345317	0.000912605	0.001788577	0.000114818	0	0	0	0.006495271	0.020201798	0	0.026604392	0.001521923	0.012294137	0.006492911	0.011359743	0.000293948	0.033529218	0.004503644	0.007231058	0	0.010954083	0.003664921	0.000174609	0.013017248	0.022656219	0.008339985	0.0003311	0	0.000319371	0.004174651	0.000618796	0.012822036	0.012820761	0.000359209	0.002572908	0.036490519	0.016102059	0.00342405	0.009223041	0.001988977	0.00078626	0.002711879	0.023197457	0.004684806	0.022104298	0.001188017	0	0	0.00812115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lactonifactor	3.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002791198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Moryella	0	0	0	0	0	0	0	0	0	0.000351463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118397	0	0	0	0	0.000264574	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0	0	0	0	0	0	0.00066277	0.000263906	0	0	0	0	0	0.007624073	0	0	0	0	0	0.002426368	0	0	0.002827225	0	0	0	0	0	0	0	0	0.001333461	0	0	0	0	0	0	0	0.002690467	0.008886776	0	0	0	0	0	0	0.002639225	0	0.00516923
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.024526517	0.067230896	0.012302269	0.043004027	0.010853275	0.015023821	0.005603422	0.002783784	0.063440403	0.017023987	0.000623033	0.056544906	0.00658071	0.005839715	0.012315358	0.029999377	0	0.039625439	0.013375664	0.013621294	0.013425398	0.041088042	0.01591623	0.001920702	0.025145818	0.120200924	0.019932565	0.001024832	0.022972568	0	0.013105667	0.005255406	0.027736906	0.022349182	0.004137094	0.026071401	0.036042132	0.037813198	0.009633467	0.002988305	0.00426592	0.000180185	0.01362554	0.014339217	0.012517802	0.054455111	0.010098146	0.002235674	0.004033374	0.032895712
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62E-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus]	0.006834998	0.000529627	0.003140434	0.014464991	0.001142132	0.004066042	0.000677833	0.002264485	0.002327705	0.006721729	0.00669596	0.003401904	0.010621309	0.001451391	0.004347427	0.001409262	0.0246612	0.001244874	0.011633088	0.00069668	0.004718106	0.024977492	0.008272251	0.033188241	0.005069217	0.00341413	0.003383651	0.021631849	0.030139784	0.030192851	0.001710923	0.002109135	0.001370852	0.006449114	0.067023398	0.008867147	0.008625328	0.003966316	0.000408047	0.000426901	0.006716983	0.016920973	0.005195931	0.007348849	0.00919159	0.005152202	0.011556168	0.000637611	0.009204176	0.002628422
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__	0	9.53E-05	0	0.000566871	7.25E-05	3.29E-05	0	0	0	0.000453973	0	0	0.001371874	9.39E-05	0	0	0	0.000265451	0	0	0.000331328	0	0	0	0	0	0	0	0.000721406	0	0	0	0	0.000125884	0	0	0.000146745	0.000443991	0	0	0	0	0.000132287	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus	0	0	0	8.80E-05	0	0	0	0	0	0	0	0.000234938	0	0	0	0	0	0	8.75E-05	0	0.00059639	0	0	0	0	0	0	0	0	0	0	0.000383479	0	0	0	0	0	0	0	0.000277982	0.001841645	0	0	0	0	0.002093685	0.001255518	6.46E-05	0	0.000161749
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4	0	0	0	0	0	4.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001164042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000528287	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|__	0.000508651	0.000211851	5.37E-05	0	0	0	0	0	0.001651695	0.000776147	0	0	0.000267944	0	0.000853959	0.000373727	5.07E-05	0.000192223	0	0	0.000278315	0	0.00052356	0	0	0.000457834	0.000154885	0	0	0.000171969	0.000650151	0.000392194	0.0003747	0.000474484	0.026990202	0	0	0.001124776	0	0	0.000100453	0	0.001028897	0	6.56E-05	0.001582324	0.000243004	0	0	5.39E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	2.93E-05	0	0	0	0	0	0.000109832	0	0	0	0	0	0	0	0	0	0	0	5.46E-05	0	4.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118397	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|__	0.012557323	0.024267525	0.003650419	0.082049728	0.010255016	0.005142106	0.001205037	0.00011067	0.006864638	0.044525964	0.023485047	0.061986073	0.023321865	0.021506203	0.02697381	0.028527827	0.018103125	0.01200022	0.004424075	0.045524432	0.05782331	0.037309361	0.090157068	0.017797678	0.069980224	0.009706071	0.053554621	0.011903823	0.111396342	0.002321582	0.01170271	0.040125851	0.066340099	0.014728382	0.001535927	0.021058095	0.039205296	0.015480472	0.033903417	0.064769771	0.03003556	0.027175115	0.028897316	0.066545286	0.017961547	0.013768151	0.079489153	0.063607748	0.008074232	0.047028535
