"","Methanobrevibacter.01","Methanosphaera.01","Methanomassiliicoccus.01","vadinCA11.01","Actinomyces.01","Arcanobacterium.01","Mobiluncus.01","Corynebacterium.01","Rothia.01","Propionibacterium.01","Bifidobacterium.01","Gardnerella.01","Scardovia.01","Adlercreutzia.01","Atopobium.01","Collinsella.01","Eggerthella.01","Enterococcus.01","Slackia.01","Bacteroides.01","Paludibacter.01","Parabacteroides.01","Porphyromonas.01","Tannerella.01","Prevotella.01","AF12.01","Alistipes.01","Butyricimonas.01","Odoribacter.01","CF231.01","Paraprevotella.01","YRC22.01","[Prevotella].01","Capnocytophaga.01","Pedobacter.01","Bacillus.01","Staphylococcus.01","Abiotrophia.01","Enterococcus.02","Lactobacillus.01","Pediococcus.01","Leuconostoc.01","Weissella.01","Lactococcus.01","Streptococcus.01","Turicibacter.01","Christensenella.01","Clostridium.01","SMB53.01","Dehalobacterium.01","Anaerofustis.01","Pseudoramibacter_Eubacterium.01","Anaerostipes.01","Blautia.01","Butyrivibrio.01","Clostridium.02","Coprococcus.01","Dorea.01","Lachnoanaerobaculum.01","Lachnobacterium.01","Lachnospira.01","Lactonifactor.01","Marvinbryantia.01","Moryella.01","Oribacterium.01","Roseburia.01","Shuttleworthia.01","[Ruminococcus].01","Peptococcus.01","rc4-4.01","Peptostreptococcus.01","Anaerotruncus.01","Butyricicoccus.01","Clostridium.03","Faecalibacterium.01","Gemmiger.01","Oscillospira.01","Ruminococcus.01","Syntrophomonas.01","Acidaminococcus.01","Anaerovibrio.01","Dialister.01","Megamonas.01","Megasphaera.01","Mitsuokella.01","Phascolarctobacterium.01","Schwartzia.01","Selenomonas.01","Succiniclasticum.01","Veillonella.01","Mogibacterium.01","1-68.01","Anaerococcus.01","Finegoldia.01","Parvimonas.01","Peptoniphilus.01","WAL_1855D.01","ph2.01","Allobaculum.01","Anaerorhabdus.01","Bulleidia.01","Catenibacterium.01","Clostridium.04","Coprobacillus.01","Holdemania.01","RFN20.01","[Eubacterium].01","cc_115.01","p-75-a5.01","Fusobacterium.01","Leptotrichia.01","Sneathia.01","Victivallis.01","Brevundimonas.01","Ochrobactrum.01","Agrobacterium.01","Shinella.01","Paracoccus.01","Raphanus.01","Sphingomonas.01","Achromobacter.01","Sutterella.01","Oxalobacter.01","Ralstonia.01","Kingella.01","Neisseria.01","Bilophila.01","Desulfovibrio.01","Campylobacter.01","Helicobacter.01","Succinivibrio.01","Cardiobacterium.01","Providencia.01","Aggregatibacter.01","Haemophilus.01","Acinetobacter.01","Pseudomonas.01","Ignatzschineria.01","Pseudoxanthomonas.01","Treponema.01","Brachyspira.01","Pyramidobacter.01","TG5.01","Cloacibacillus.01","Synergistes.01","Anaeroplasma.01","Mycoplasma.01","Akkermansia.01"
S100/8123,0.0,0.0,0.0,0.0,4.76860351446079e-05,0.0,0.0,0.0,0.0,0.0,0.05346399306962956,0.0,0.0,0.0,0.0,0.010912154375591107,0.0,0.0,0.0,0.2883654021919681,0.0,0.0032029120272128305,0.0,0.0,0.00011126741533741843,0.0,0.10769891037409694,0.0019233367508325187,0.005388521971340693,0.0,0.0,0.0,0.0,3.1790690096405265e-05,0.0,0.0,0.0,0.0,0.0,0.003210859699736932,0.0,1.5895345048202632e-05,0.0,0.0,0.0012875229489044133,0.0,6.358138019281053e-05,0.0,0.0,0.0,6.358138019281053e-05,0.0,0.00011921508786151975,0.015315164953943238,0.0,0.0006119707843558013,0.04975243000087425,0.008511957273312509,0.0,0.0028611621086764736,0.005626952147063732,3.1790690096405265e-05,0.0,0.0,0.0,0.024526517409376662,0.0,0.006834998370727132,0.0,0.0,0.0,0.00016690112300612764,0.0007788719073619291,0.0,0.029334859286457963,0.0,0.02297672126717691,0.018375018875722245,0.0,0.014742932532207943,0.0,0.0008583486326029422,0.0,0.0,0.0,0.06063279368636895,0.0,0.0,0.0,0.0005722324217352947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1790690096405265e-05,0.0,0.0,7.947672524101317e-05,0.0,0.0,0.0,0.0,0.004665283771647474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04306048973558094,0.0,0.0,0.0,0.0,0.013185188717484085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027022086581944484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003703615396231213,0.0,0.0,0.08432480548071497
S101/8118,0.0,0.0,0.0,0.0,8.47403766709743e-05,0.0,4.2370188335487155e-05,0.00013770311209033325,0.0,0.0,0.01777429400673686,0.0,0.0,0.0,0.0,0.011800097451433171,0.0,0.0,0.0001694807533419486,0.10994004618350528,0.0,0.0113763955680783,0.0,0.0,0.1848293540664788,0.0,0.006588564286168252,0.0022879901701163058,0.003728576573522869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189606592801305,0.000201258394593564,5.296273541935894e-05,0.00024362858292905116,4.2370188335487155e-05,0.0,0.0,0.0,0.0007944410312903841,0.015433341101201196,0.0,0.0009427366904645893,0.011418765756413787,0.005582272313200432,0.0,0.009046035209626506,0.003453170349342203,0.0,0.0,0.0,0.0,0.06723089634133424,0.0,0.0005296273541935894,0.0,0.0,0.0,0.0,0.0007097006546194097,0.0,0.15049890896765036,0.01701163061669809,0.032699192847912215,0.05172340741054594,0.0,0.00959684765798784,0.0,0.0011757727263097685,0.0,6.355528250323073e-05,0.0,0.04019871618329343,4.2370188335487155e-05,8.47403766709743e-05,0.0,0.0021185094167743574,0.0,0.0,0.0,0.0,0.0,2.1185094167743574e-05,9.53329237548461e-05,0.0,4.2370188335487155e-05,0.0,0.0,0.0024786560176259984,0.00015888820625807682,9.53329237548461e-05,0.00011651801792258967,0.0,0.0093108488867233,0.0,0.0,0.0006249602779484356,0.0002648136770967947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009882846429252377,0.0003283689596000254,0.0,0.0,0.0012181429146452556,0.001811325551342076,0.0022773976230324343,0.0001694807533419486,0.0,0.0,0.0,0.0,0.00012711056500646145,0.0007520708429548968,0.0,0.0004660720716903586,0.0,0.0,0.0,0.0,0.0,0.0,3.177764125161536e-05,0.0,0.0,0.0,0.02215960849945978
S102/8145,4.473552358456803e-05,0.0,0.0,0.0,0.00013420657075370411,0.0,0.0,0.0,0.00010736525660296328,0.0,0.0001789420943382721,0.0,0.0,0.0,4.473552358456803e-05,0.006826640899005082,9.841815188604968e-05,0.0,0.0,0.04341135208646482,0.0,0.004285663159401617,0.0,0.0,0.2292516641614773,0.0,0.006898217736740391,0.0013778541264046955,0.00035788418867654427,0.0,0.0036146303056330967,0.0,0.024157182735666742,5.368262830148164e-05,1.7894209433827213e-05,0.0,0.0,0.0,0.0,0.00042946102641185313,0.0,0.0,0.0,0.0,0.0014494309641400042,0.0,9.841815188604968e-05,0.0,0.0,0.0,0.0,1.7894209433827213e-05,0.00015210078018753132,0.0055024694009018675,0.0,0.00030420156037506263,0.011398611409347935,0.003364111373559516,0.0,0.00013420657075370411,0.0009126046811251877,0.0,0.0,0.0,0.0,0.01230226898575621,0.0,0.0031404337556366763,0.0,0.0,0.0,0.0014673251735738315,0.0,0.0,0.0024246653782835875,0.0009841815188604967,0.011908596378212009,0.0019146804094195122,0.0,0.02448822561019254,0.024228759573402047,0.002710972729224823,0.0,0.004375134206570754,0.00033998997924271704,0.04273137212797939,0.0,0.0,0.0,0.0008499749481067926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5788418867654425e-05,0.0,0.0001789420943382721,0.0010557583565958056,0.0,0.0,0.0,0.0,0.019263116455514998,0.0,0.0,0.00026841314150740823,0.00020578340848901292,0.0,0.0003936726075441987,0.00013420657075370411,0.0,0.0,0.0,0.001834156466967289,0.0,0.0,0.00010736525660296328,0.026563953904516498,0.00011631236131987688,0.0,0.0,0.0004741965499964212,0.002737814043375564,0.0032925345358242072,0.0,0.0,0.4288973588146876,0.0,0.0,0.00027736024622432184,0.0026304487867726003,9.841815188604968e-05,0.0004920907594302483,0.0,1.7894209433827213e-05,0.0,0.0,0.0003131486650919762,0.0,0.0,0.0,0.0,0.0,0.0008589220528237063
S103/8150,0.0,0.0,0.0,0.0,3.909456976425974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014171781539544155,0.0,0.0,0.00028343563079088314,0.07212948121505923,0.0,0.002228390476562805,0.0,0.0,0.18990187262989167,0.0,0.002814809023026702,0.006528793150631377,0.0030689237264943897,0.004231987176981118,0.0,0.0,0.047382618554282815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.773642441064937e-05,0.00015637827905703896,0.0,5.8641854646389625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.016234020094608857,0.0,0.0013976308690722859,0.005404824269908909,0.0019938230579772467,0.0,0.001974275773095117,0.0017885765667148836,0.0,0.0,0.0,0.0,0.04300402674068572,0.0,0.014464990812776106,8.796278196958443e-05,0.0,2.9320927323194813e-05,0.0001368309941749091,0.0,0.0,0.055328589858868606,0.007164079909300599,0.08230384299620783,0.004310176316509637,0.0,0.032790570389772865,0.0,0.013556042065757066,0.0,0.00029320927323194814,0.01574533797255561,0.05596387661753782,0.0,0.0,0.0,0.0,4.886821220532468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001690840142304234,0.008806051839399507,0.0,0.0,0.0002736619883498182,0.0,0.0,0.0006059658313460262,0.0,0.0,3.909456976425974e-05,0.0,0.0008112123226083897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011738144571718987,0.0,0.0,0.0,0.0,0.0015051409359239998,0.033855897415848935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012412525900152471,0.0,0.0,5.8641854646389625e-05
S104/8162,0.0009366690838772056,0.0,0.0,0.0,0.00013294657964708727,0.0,0.0,0.0,0.0,0.0,0.022842639593908632,0.0,0.0,7.25163161711385e-05,0.0,0.004520183708000967,0.00029610829103214885,0.0,0.0,0.24581822576746434,3.021513173797438e-05,0.007046168721295625,2.4172105390379503e-05,1.8129079042784625e-05,0.00036862460720328734,0.0,0.025211505922165818,0.00629683345419386,0.005777133188300701,0.0,0.0,0.0,4.230118443316413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029610829103214885,8.460236886632826e-05,2.4172105390379503e-05,0.00016316171138506164,0.0,4.230118443316413e-05,0.0,0.00013898960599468215,0.0005136572395455643,0.13081943437273386,0.0,8.460236886632826e-05,0.029628958182257675,0.0,0.0,0.0,0.00011481750060430264,0.0,0.0,0.0,0.0,0.010853275320280395,0.0,0.0011421319796954313,0.0,0.0,0.0,0.000145032632342277,0.0,0.0,0.02463741841914431,0.01824389654338893,0.006653372008701958,0.0025743292240754173,0.0,0.06597776166304085,0.0,0.0009487551365723953,0.0,0.02255861735557167,0.0,0.048235436306502295,0.0,0.0,0.0,0.0002658931592941745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.438723712835388e-05,2.4172105390379503e-05,0.0,0.0,0.0002356780275562001,7.25163161711385e-05,0.0,3.625815808556925e-05,0.0,0.0,0.0029429538312787037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08291636451534927,0.00019337684312303603,0.0,0.0,0.00010273144790911288,0.021482958665699783,0.038572637176698094,0.0,0.0,0.0,0.0,0.0,0.0,0.00018733381677544115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007130771090161952
S105/8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027189091506489237,0.0,0.0,0.5885657959586003,0.0,0.013241333990471496,0.0,0.0,0.0010103499260719565,0.0,0.0002874979464432397,0.0,0.0,0.0,0.0,0.0,7.392804337111878e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000312140627566946,0.0,0.00022999835715459174,0.0,0.0,0.0,0.0,0.002776408739937572,0.0,0.008961721701987843,0.0,0.06654345326104813,0.002702480696566453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01502382125841958,0.0,0.004066042385411533,0.0,4.10711352061771e-05,0.0,0.011220634138327584,0.0002874979464432397,0.00035321176277312307,0.0,0.0,0.02939871858058157,0.04958928864793823,0.0,0.0,0.0,0.00014785608674223755,0.0,0.0,0.0,0.07802694266469526,0.0,0.0,0.0,0.00021356990307212087,0.0,0.0,3.285690816494168e-05,0.0,0.0,3.285690816494168e-05,0.0001314276326597667,0.0,7.392804337111878e-05,0.0,0.0,0.0,0.00029571217348447516,0.003868900936421883,8.21422704123542e-05,0.0,0.00035321176277312307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017085592245769676,0.0,0.0,0.00010678495153606046,0.0,0.007639231148348941,0.008058156727451945,0.0,0.0,0.0,0.0,0.0,0.0001314276326597667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001642845408247084
S106/8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.531481593058986e-05,0.0,0.0,0.010167500150629631,0.0,9.037777911670784e-05,0.0,0.0,0.007169970476592155,0.0,0.0,0.0003464481532807134,0.3341869012472133,0.0,0.0030125926372235948,0.0,0.0,0.00037657407965294935,0.0,0.0030879074531541843,0.0,0.00013556666867506177,0.0,0.013481352051575586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009339037175393145,0.003283725974573718,0.0,0.0,0.0,0.0,0.007245285292522745,0.0,0.0,0.0,0.0,0.0,0.0,6.025185274447189e-05,0.0,0.004051937097065735,0.0,0.0012351629812616738,0.0009489666807254324,0.014972585407001266,0.0,0.0,0.0,0.0,0.0,0.0,0.0006627703801891907,0.005603422305235886,0.0,0.0006778333433753087,0.0,0.0,0.0,0.0,0.0,0.0,0.0004067000060251853,0.002349822257034404,0.0004368259323974212,0.0,0.0,0.06761764174248358,0.0,0.0,0.0,0.29749352292583,0.0,0.019295655841417125,0.0,0.0,0.0,0.002741459299873471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027429655961920832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.037777911670784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052419111887690543,0.0,0.0,0.0,0.0,0.00036151111646683137,0.0,6.025185274447189e-05,0.0,0.0,3.012592637223595e-05,0.0,0.0,0.0005121407483280111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.518888955835392e-05
S107/8192,0.0,0.0,0.0,0.0,5.107860998076039e-05,0.0,0.0,0.0,2.5539304990380194e-05,0.0,0.0,0.0,0.0,0.0,3.405240665384026e-05,0.0,0.0,0.0,0.0,0.5949721621575604,0.0,0.08772751264195597,3.405240665384026e-05,0.0,0.0005874040147787443,0.0,0.0057974222328163036,0.0,3.405240665384026e-05,0.0,0.08135119949602439,0.0,0.0,0.0,0.0,0.0,0.0,5.9591711644220446e-05,0.00011918342328844092,0.00021282754158650163,0.0,0.0,0.0,0.0,0.0014642534861151312,0.0,0.0,5.9591711644220446e-05,0.0,0.0,0.0,0.0,0.0,0.0019750395859227357,0.0,0.014974545826026257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263906151567262,0.002783784243951441,0.0,0.002264485042480377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037031992236051282,0.00028944545655764216,0.0,5.9591711644220446e-05,0.0,0.002860402158922582,0.0,0.0023836684657688183,0.0,0.0,0.0,7.661791497114059e-05,0.0,0.07136533124478572,0.0,0.0,0.0,0.0,0.0,0.0,0.00025539304990380193,0.0,5.107860998076039e-05,0.0,0.0,0.006223077315989307,0.0,0.0,0.0,0.0,0.00035755026986532273,0.0,0.0,0.0008172577596921662,1.702620332692013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08885975516319616,0.0,0.0,0.0,5.9591711644220446e-05,7.661791497114059e-05,0.0,3.405240665384026e-05,0.0,0.0,0.0,0.0,0.0,0.0002468799482403419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033201096487494246
S108/8103,0.0,0.0,0.0,0.0,4.8784227362376206e-05,0.0,0.0,0.0,0.0,0.0,0.00014635268208712862,0.0,0.0,0.00012544515607468168,0.0,0.0009965920732599714,0.00011150680539971704,0.0,0.0,0.4640355706709225,0.0,0.033953822244213845,0.0,0.0,0.0,0.0,0.006906452759444975,4.181505202489389e-05,0.013415662524653458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038330464356152737,0.00019513690944950482,0.0,3.484587668741158e-05,0.0,0.0,0.0,0.0,0.0016377562043083439,0.007979705761417252,0.0,0.00011150680539971704,0.01278843674428005,0.0009199311445476656,0.0,0.013276279017903809,0.006495271414533518,0.0,0.0,0.0,0.0,0.06344040309710151,0.0,0.002327704562719093,0.0,0.0,0.0,0.0,0.0,0.0,0.07505801838468454,0.005066590470349644,0.04782945034114113,0.002494964770818669,0.0,0.06362857083121354,0.0,0.0015750336262710036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027876701349929264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8784227362376206e-05,0.0,2.7876701349929266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09404902117932384,0.0011290064046721349,0.0,0.0,4.181505202489389e-05,0.011833659723044973,0.0,3.484587668741158e-05,0.0,0.0,0.0,0.0,0.0,0.0004251196955864213,0.0,0.0,0.0,0.0,0.0,0.0,4.181505202489389e-05,0.0,0.0,0.0,0.0,0.0,0.0002021060847869872
S109/8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51878862431538e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008310634683536891,0.0,0.00010983217643440821,0.000915268136953402,0.20021673549483054,0.0,0.038009255191400866,0.0015083618896992062,0.0,0.13997012564800984,0.0,0.011466479219752218,0.005908971092171162,0.004473830653428228,0.0,0.008244735377676244,0.0,0.02824151363383417,0.0,0.0,0.0,0.0,0.0,0.0,3.661072547813607e-05,0.0,0.0,0.0,0.0,0.0013326304074041534,0.00011715432153003545,4.3932870573763285e-05,8.786574114752657e-05,0.0,0.00015376504700817151,0.0,0.0,0.00021234220777318925,0.0232990656942858,0.0,0.001464429019125443,0.02522478985443576,0.001706059807281141,0.0,0.00027091936853820695,0.020201798318835486,0.0,0.0,0.00035146296459010633,0.0,0.017023987347333274,0.0,0.006721729197785784,0.0,0.0,0.00010983217643440821,0.0004905837214070234,0.0,0.0,0.07448085991272002,0.01624783996719679,0.04962949945816126,0.013275049058372141,0.0,0.012433002372375013,0.0,0.012952874674164543,0.0,0.0005198723017895323,0.0,0.027692352751662132,0.0,0.0,0.0,0.000373429399876988,0.0,0.0005564830272676684,0.0,0.0,8.786574114752657e-05,0.00014644290191254431,0.0022332542541663005,0.0,0.0,0.0,0.0,0.0008786574114752657,0.00017573148229505314,2.9288580382508862e-05,0.00011715432153003545,0.0,0.002474885042321999,0.0,0.0,0.002247898544357555,6.589930586064493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012447646662566266,0.0,0.0,0.02078756992648566,0.0,0.0,0.0,0.00026359722344257967,0.009562721494889143,0.04697156078844859,0.00039539583516386964,0.0,0.0,0.0,0.0,0.0,0.00011715432153003545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8577160765017725e-05,0.00038807369006824236
